ref,content,piece,melody,year,instrument,performer,,location,collector,notes,comments,archive,file,kivike,order
"RKM, Mgn. II 4005 (12)",Sõrmelugu,,,1985,akordion,Nikolai Köster,,Kihnu khk.,"Ingrid Rüütel, Kistjan Torop, A. Vissel",,,"RKM, Mgn. II",RKM_Mgn_II/Vahemikust__4001-4500/M2-4005--12--sormelugu__pillil.mp3,K0,44386
"RKM, Mgn. II 4005 (13)",Valss,,,1985,akordion,Nikolai Köster,,Kihnu khk.,"Ingrid Rüütel, Kistjan Torop, A. Vissel",,,"RKM, Mgn. II",RKM_Mgn_II/Vahemikust__4001-4500/M2-4005--13--valss__pillil.mp3,K0,44387
"RKM, Mgn. II 4005 (14)",Tõmba-Jüri,,,1985,akordion,Nikolai Köster,,Kihnu khk.,"Ingrid Rüütel, Kistjan Torop, A. Vissel",,,"RKM, Mgn. II",RKM_Mgn_II/Vahemikust__4001-4500/M2-4005--14--tomba_Jyri__pillil.mp3,K0,44388
"RKM, Mgn. II 4005 (15)",Valss,,,1985,akordion,Nikolai Köster,,Kihnu khk.,"Ingrid Rüütel, Kistjan Torop, A. Vissel",,,"RKM, Mgn. II",RKM_Mgn_II/Vahemikust__4001-4500/M2-4005--15--valss__pillil.mp3,K0,44389
"RKM, Mgn. II 4006 (1)",Polka,,,1985,akordion,Nikolai Köster,,Kihnu khk.,"Ingrid Rüütel, Kistjan Torop, A. Vissel",,,"RKM, Mgn. II",RKM_Mgn_II/Vahemikust__4001-4500/M2-4006--01--polka__akordion.mp3,K0,44390
"RKM, Mgn. II 4006 (2)",Kalamies,,,1985,akordion,Nikolai Köster,,Kihnu khk.,"Ingrid Rüütel, Kistjan Torop, A. Vissel",,,"RKM, Mgn. II",RKM_Mgn_II/Vahemikust__4001-4500/M2-4006--02--Kalamies__akordion.mp3,K0,44391
"RKM, Mgn. II 4006 (3)",Takalaadi,,,1985,akordion,Nikolai Köster,,Kihnu khk.,"Ingrid Rüütel, Kistjan Torop, A. Vissel",,,"RKM, Mgn. II",RKM_Mgn_II/Vahemikust__4001-4500/M2-4006--03--Takalaadi__akordion.mp3,K0,44392
"RKM, Mgn. II 4006 (4)",Sõrmõlugu,,,1985,akordion,Nikolai Köster,,Kihnu khk.,"Ingrid Rüütel, Kistjan Torop, A. Vissel",,,"RKM, Mgn. II",RKM_Mgn_II/Vahemikust__4001-4500/M2-4006--04--Sormolugu__akordion.mp3,K0,44393
"RKM, Mgn. II 4009 (11)",Pulmatants,,,1986,lõõts,Jaan Köster,,Kihnu khk.,"Ingrid Rüütel, A. Vissel",,,"RKM, Mgn. II",RKM_Mgn_II/Vahemikust__4001-4500/M2-4009--11--pulmatants_pillil.mp3,K0,44394
"RKM, Mgn. II 4011 (1)",Polka,,,1987,viiul,Elmar Ausmees,,Juuru khk.,"Eda Kalmre, Ain Urbel",,,"RKM, Mgn. II",RKM_Mgn_II/Vahemikust__4001-4500/M2-4011--01--polka__pillil.mp3,K0,44395
"RKM, Mgn. II 4011 (2)",Vana valss (Läänemere lained),Läänemere lained,II <-- ?,1987,viiul,Elmar Ausmees,,Juuru khk.,"Eda Kalmre, Ain Urbel",,,"RKM, Mgn. II",RKM_Mgn_II/Vahemikust__4001-4500/M2-4011--02--vana_valss__pillil.mp3,K0,44396
"RKM, Mgn. II 4011 (3)",Maali valss,,,1987,viiul,Elmar Ausmees,,Juuru khk.,"Eda Kalmre, Ain Urbel",,,"RKM, Mgn. II",RKM_Mgn_II/Vahemikust__4001-4500/M2-4011--03--Maali_valss__pillil.mp3,K0,44397
"RKM, Mgn. II 4011 (4)",Jooksupolka,,,1987,viiul,Elmar Ausmees,,Juuru khk.,"Eda Kalmre, Ain Urbel",,,"RKM, Mgn. II",RKM_Mgn_II/Vahemikust__4001-4500/M2-4011--04--oot_oot_arge_veel__pillil.mp3,K0,44398
"RKM, Mgn. II 4011 (5)",Mäepere Mats,,,1987,viiul,Elmar Ausmees,,Juuru khk.,"Eda Kalmre, Ain Urbel",,,"RKM, Mgn. II",RKM_Mgn_II/Vahemikust__4001-4500/M2-4011--05--Maepere_Mats__pillil.mp3,K0,44399
"RKM, Mgn. II 4011 (6)",Kas mäletad kevadet õites,Mäletad kevadet õites,,1987,viiul,Elmar Ausmees,,Juuru khk.,"Eda Kalmre, Ain Urbel",,,"RKM, Mgn. II",RKM_Mgn_II/Vahemikust__4001-4500/M2-4011--06--oot_oot_ma_nyid__pillil.mp3,K0,44400
"RKM, Mgn. II 4011 (7)",Omalooming,,,1987,viiul,Elmar Ausmees,,Juuru khk.,"Eda Kalmre, Ain Urbel",,,"RKM, Mgn. II",RKM_Mgn_II/Vahemikust__4001-4500/M2-4011--07--omalooming__pillil.mp3,K0,44401
"RKM, Mgn. II 4011 (8)",R. Valgre (omas tõlgenduses),,,1987,viiul,Elmar Ausmees,,Juuru khk.,"Eda Kalmre, Ain Urbel",,,"RKM, Mgn. II",RKM_Mgn_II/Vahemikust__4001-4500/M2-4011--08--R_Valgre_omas_tolgenduses__pillil.mp3,K0,44402
"RKM, Mgn. II 4012 (15)",Metsa valss,,,1987,viiul,Elmar Ausmees,,Juuru khk.,"Eda Kalmre, Ain Urbel",,,"RKM, Mgn. II",RKM_Mgn_II/Vahemikust__4001-4500/M2-4012--15--metsa_valss__pillil.mp3,K0,44403
"RKM, Mgn. II 4012 (16)",Krakovjak,,,1987,viiul,Elmar Ausmees,,Juuru khk.,"Eda Kalmre, Ain Urbel",,,"RKM, Mgn. II",RKM_Mgn_II/Vahemikust__4001-4500/M2-4012--16--krakovjak__pillil.mp3,K0,44404
"RKM, Mgn. II 4012 (17)",Padespan (Anna andeks),,,1987,viiul,Elmar Ausmees,,Juuru khk.,"Eda Kalmre, Ain Urbel",,,"RKM, Mgn. II",RKM_Mgn_II/Vahemikust__4001-4500/M2-4012--17--padespan_anna_andeks__pillil.mp3,K0,44405
"RKM, Mgn. II 4012 (18)",Tõmba Jüri,,,1987,viiul,Elmar Ausmees,,Juuru khk.,"Eda Kalmre, Ain Urbel",,,"RKM, Mgn. II",RKM_Mgn_II/Vahemikust__4001-4500/M2-4012--18--tomba_Jyri__pillil.mp3,K0,44406
"RKM, Mgn. II 4012 (19)",Läksin mina läbi külatänava,Läksin mina läbi külatänava,I,1987,viiul,Elmar Ausmees,,Juuru khk.,"Eda Kalmre, Ain Urbel",,,"RKM, Mgn. II",RKM_Mgn_II/Vahemikust__4001-4500/M2-4012--19--laksin_mina_labi_kylatanava__pillil.mp3,K0,44407
"RKM, Mgn. II 4012 (20)",Kirikukellamehe pulmapolka,,,1987,viiul,Elmar Ausmees,,Juuru khk.,"Eda Kalmre, Ain Urbel",,,"RKM, Mgn. II",RKM_Mgn_II/Vahemikust__4001-4500/M2-4012--20--kirikukellamehe_polka__pillil.mp3,K0,44408
"RKM, Mgn. II 4012 (21)",Vingerka,,,1987,viiul,Elmar Ausmees,,Juuru khk.,"Eda Kalmre, Ain Urbel",,,"RKM, Mgn. II",RKM_Mgn_II/Vahemikust__4001-4500/M2-4012--21--vingerka__pillil.mp3,K0,44409
"RKM, Mgn. II 4012 (22)",Lutika Viiu,,,1987,viiul,Elmar Ausmees,,Juuru khk.,"Eda Kalmre, Ain Urbel",,,"RKM, Mgn. II",RKM_Mgn_II/Vahemikust__4001-4500/M2-4012--22--Lutika_Viiu__pillil.mp3,K0,44410
"RKM, Mgn. II 4012 (23)",Vingerka,,,1987,viiul,Elmar Ausmees,,Juuru khk.,"Eda Kalmre, Ain Urbel",,,"RKM, Mgn. II",RKM_Mgn_II/Vahemikust__4001-4500/M2-4012--23--vingerka__pillil.mp3,K0,44411
"RKM, Mgn. II 4020 (11)",Loobeni polka,,,1987,lõõts,Heldur Vaidla,,Juuru khk.,"Mall Hiiemäe, Ain Urbel",,,"RKM, Mgn. II",RKM_Mgn_II/Vahemikust__4001-4500/M2-4020--11--Loobeni_polka__pillil.mp3,K0,44412
"RKM, Mgn. II 4020 (12)",Tõmma-Jüri polka,,,1987,lõõts,Heldur Vaidla,,Juuru khk.,"Mall Hiiemäe, Ain Urbel",,,"RKM, Mgn. II",RKM_Mgn_II/Vahemikust__4001-4500/M2-4020--12--tomma_Jyri_polka__pillil.mp3,K0,44413
"RKM, Mgn. II 4020 (13)",Mustlase lugu - valss,,,1987,lõõts,Heldur Vaidla,,Juuru khk.,"Mall Hiiemäe, Ain Urbel",,,"RKM, Mgn. II",RKM_Mgn_II/Vahemikust__4001-4500/M2-4020--13--mustlase_lugu_valss__pillil.mp3,K0,44414
"RKM, Mgn. II 4020 (14)",Polka (isa käest õpitud),,,1987,lõõts,Heldur Vaidla,,Juuru khk.,"Mall Hiiemäe, Ain Urbel",,,"RKM, Mgn. II",RKM_Mgn_II/Vahemikust__4001-4500/M2-4020--14--polka_isa_kaest_opitud__pillil.mp3,K0,44415
"RKM, Mgn. II 4020 (15)",Kilu-Mari polka,,,1987,lõõts,Heldur Vaidla,,Juuru khk.,"Mall Hiiemäe, Ain Urbel",,,"RKM, Mgn. II",RKM_Mgn_II/Vahemikust__4001-4500/M2-4020--15--Kilu-Mari_polka__pillil.mp3,K0,44416
"RKM, Mgn. II 4020 (16)","Kuule, kuidas kohisevad metsad (valss)",,,1987,lõõts,Heldur Vaidla,,Juuru khk.,"Mall Hiiemäe, Ain Urbel",,,"RKM, Mgn. II",RKM_Mgn_II/Vahemikust__4001-4500/M2-4020--16--kuule_kuidas_kohisevad_metsad__pillil.mp3,K0,44417
"RKM, Mgn. II 4020 (17)","Padispaan ""Naninunnadi""",,,1987,lõõts,Heldur Vaidla,,Juuru khk.,"Mall Hiiemäe, Ain Urbel",,,"RKM, Mgn. II",RKM_Mgn_II/Vahemikust__4001-4500/M2-4020--17--padispaan_nadinunnadi__pillil.mp3,K0,44418
"RKM, Mgn. II 4020 (18)","Reilender ""Läksin mina""",Läksin mina läbi külatänava,I,1987,lõõts,Heldur Vaidla,,Juuru khk.,"Mall Hiiemäe, Ain Urbel",,,"RKM, Mgn. II",RKM_Mgn_II/Vahemikust__4001-4500/M2-4020--18--reilender_laksin_mina__pillil.mp3,K0,44419
"RKM, Mgn. II 4020 (19)",Lutika Viiu (valss),,,1987,lõõts,Heldur Vaidla,,Juuru khk.,"Mall Hiiemäe, Ain Urbel",,,"RKM, Mgn. II",RKM_Mgn_II/Vahemikust__4001-4500/M2-4020--19--Lutika_Viiu_valss__pillil.mp3,K0,44420
"RKM, Mgn. II 4020 (20)",Krakovjak,,,1987,lõõts,Heldur Vaidla,,Juuru khk.,"Mall Hiiemäe, Ain Urbel",,,"RKM, Mgn. II",RKM_Mgn_II/Vahemikust__4001-4500/M2-4020--20--krakovjak__pillil.mp3,K0,44421
"RKM, Mgn. II 4020 (21)","Valss ""Juba ammu roosid õtsend""",,,1987,lõõts,Heldur Vaidla,,Juuru khk.,"Mall Hiiemäe, Ain Urbel",,,"RKM, Mgn. II",RKM_Mgn_II/Vahemikust__4001-4500/M2-4020--21--valss_juba_ammu_roosid_oitsend__pillil.mp3,K0,44422
"RKM, Mgn. II 4020 (22)",Umba-umba (foks),,,1987,lõõts,Heldur Vaidla,,Juuru khk.,"Mall Hiiemäe, Ain Urbel",,,"RKM, Mgn. II",RKM_Mgn_II/Vahemikust__4001-4500/M2-4020--22--umba-umba_foks__pillil.mp3,K0,44423
"RKM, Mgn. II 4020 (23)",Kellamehe polka,,,1987,lõõts,Heldur Vaidla,,Juuru khk.,"Mall Hiiemäe, Ain Urbel",,,"RKM, Mgn. II",RKM_Mgn_II/Vahemikust__4001-4500/M2-4020--23--kellamehe_polka__pillil.mp3,K0,44424
"RKM, Mgn. II 4020 (24)","Kolga ranna lugu (valss, var)",,,1987,lõõts,Heldur Vaidla,,Juuru khk.,"Mall Hiiemäe, Ain Urbel",,,"RKM, Mgn. II",RKM_Mgn_II/Vahemikust__4001-4500/M2-4020--24--Kolga_ranna_lugu_valss__pillil.mp3,K0,44425
"RKM, Mgn. II 4020 (25)",Kas mäletad kevadet õites (valss),Mäletad kevadet õites,,1987,lõõts,Heldur Vaidla,,Juuru khk.,"Mall Hiiemäe, Ain Urbel",,,"RKM, Mgn. II",RKM_Mgn_II/Vahemikust__4001-4500/M2-4020--25--kas_maletad_kevadet_oites__pillil.mp3,K0,44426
"RKM, Mgn. II 4020 (26)",Kaks lauljat,,,1987,lõõts,Heldur Vaidla,,Juuru khk.,"Mall Hiiemäe, Ain Urbel",,,"RKM, Mgn. II",RKM_Mgn_II/Vahemikust__4001-4500/M2-4020--26--kaks_lauljat_valss__pillil.mp3,K0,44427
"RKM, Mgn. II 4020 (27)",Roosiaias (valss),,,1987,lõõts,Heldur Vaidla,,Juuru khk.,"Mall Hiiemäe, Ain Urbel",,,"RKM, Mgn. II",RKM_Mgn_II/Vahemikust__4001-4500/M2-4020--27--roosiaias__valss__pillil.mp3,K0,44428
"RKM, Mgn. II 4020 (28)",Polka,,,1987,lõõts,Heldur Vaidla,,Juuru khk.,"Mall Hiiemäe, Ain Urbel",,,"RKM, Mgn. II",RKM_Mgn_II/Vahemikust__4001-4500/M2-4020--28--polka__pillil.mp3,K0,44429
"RKM, Mgn. II 4020 (29)",See Mäeotsa talu (foks),,,1987,lõõts,Heldur Vaidla,,Juuru khk.,"Mall Hiiemäe, Ain Urbel",,,"RKM, Mgn. II",RKM_Mgn_II/Vahemikust__4001-4500/M2-4020--29--see_Maeotsa_talu_foks__pillil.mp3,K0,44430
"RKM, Mgn. II 4020 (30)",Kui ulatasid suu,,,1987,lõõts,Heldur Vaidla,,Juuru khk.,"Mall Hiiemäe, Ain Urbel",,,"RKM, Mgn. II",RKM_Mgn_II/Vahemikust__4001-4500/M2-4020--30--kui_ulatasid_suu_foks__pillil.mp3,K0,44431
"RKM, Mgn. II 4020 (31)",Roosiaias (valss),,,1987,kannel,Heldur Vaidla,,Juuru khk.,"Mall Hiiemäe, Ain Urbel",,,"RKM, Mgn. II",RKM_Mgn_II/Vahemikust__4001-4500/M2-4020--31--roosiaias_valss__pillil.mp3,K0,44432
"RKM, Mgn. II 4020 (32)",Kahe tuuri polka,,,1987,kannel,Heldur Vaidla,,Juuru khk.,"Mall Hiiemäe, Ain Urbel",,,"RKM, Mgn. II",RKM_Mgn_II/Vahemikust__4001-4500/M2-4020--32--kahe_tuuri_polka__pillil.mp3,K0,44433
"RKM, Mgn. II 4021 (1)",Sangaste valss,,,1987,kannel,Heldur Vaidla,,Juuru khk.,"Mall Hiiemäe, Ain Urbel",,,"RKM, Mgn. II",RKM_Mgn_II/Vahemikust__4001-4500/M2-4021--01--Sangaste_valss__pillil.mp3,K0,44434
"RKM, Mgn. II 4021 (2)",Mulgimaal (foks),,,1987,kannel,Heldur Vaidla,,Juuru khk.,"Mall Hiiemäe, Ain Urbel",,,"RKM, Mgn. II",RKM_Mgn_II/Vahemikust__4001-4500/M2-4021--02--Mulgimaal_foks__pillil.mp3,K0,44435
"RKM, Mgn. II 4021 (3)",Üks vanamees raius... (valss),Perekonnavalss,I,1987,kannel,Heldur Vaidla,,Juuru khk.,"Mall Hiiemäe, Ain Urbel",,,"RKM, Mgn. II",RKM_Mgn_II/Vahemikust__4001-4500/M2-4021--03--yks_vanamees_raius__pillil.mp3,K0,44436
"RKM, Mgn. II 4021 (4)",Kord kõndisin ma halja aasa peal... (foks),,,1987,kannel,Heldur Vaidla,,Juuru khk.,"Mall Hiiemäe, Ain Urbel",,,"RKM, Mgn. II",RKM_Mgn_II/Vahemikust__4001-4500/M2-4021--04--kord_kondisin_ma_halja_aasa__pillil.mp3,K0,44437
"RKM, Mgn. II 4022 (1)","Valss ""Üks vanamees raius""",Perekonnavalss,I,1987,kannel,"Jaan Siniallik, Meeta Siniallik",,Juuru khk.,"Mall Hiiemäe, Ain Urbel",,,"RKM, Mgn. II",RKM_Mgn_II/Vahemikust__4001-4500/M2-4022--01--valss_yks_vanamees_raius__pillil.mp3,K0,44438
"RKM, Mgn. II 4022 (2)",Kas mäletad kevadet õites (valss),Mäletad kevadet õites,,1987,kannel,"Jaan Siniallik, Meeta Siniallik",,Juuru khk.,"Mall Hiiemäe, Ain Urbel",,,"RKM, Mgn. II",RKM_Mgn_II/Vahemikust__4001-4500/M2-4022--02--kas_maletad_kevadet_oites__pillil.mp3,K0,44439
"RKM, Mgn. II 4022 (3)",Sangaste valts,,,1987,kannel,"Jaan Siniallik, Meeta Siniallik",,Juuru khk.,"Mall Hiiemäe, Ain Urbel",,,"RKM, Mgn. II",RKM_Mgn_II/Vahemikust__4001-4500/M2-4022--03--Sangaste_valts__pillil.mp3,K0,44440
"RKM, Mgn. II 4022 (4)",Roosiaias (valss),,,1987,kannel,"Jaan Siniallik, Meeta Siniallik",,Juuru khk.,"Mall Hiiemäe, Ain Urbel",,,"RKM, Mgn. II",RKM_Mgn_II/Vahemikust__4001-4500/M2-4022--04--roosiaias_valss__pillil.mp3,K0,44441
"RKM, Mgn. II 4022 (5)","Valss ""Meremees""",,,1987,kannel,"Jaan Siniallik, Meeta Siniallik",,Juuru khk.,"Mall Hiiemäe, Ain Urbel",,,"RKM, Mgn. II",RKM_Mgn_II/Vahemikust__4001-4500/M2-4022--05--valss_meremees__pillil.mp3,K0,44442
"RKM, Mgn. II 4022 (6)",Ju laias laanes (valss),,,1987,kannel,"Jaan Siniallik, Meeta Siniallik",,Juuru khk.,"Mall Hiiemäe, Ain Urbel",,,"RKM, Mgn. II",RKM_Mgn_II/Vahemikust__4001-4500/M2-4022--06--ju_laias_laanes_valss__pillil.mp3,K0,44443
"RKM, Mgn. II 4022 (7)",Kodumetsa nõlvad (valss),,,1987,kannel,"Jaan Siniallik, Meeta Siniallik",,Juuru khk.,"Mall Hiiemäe, Ain Urbel",,,"RKM, Mgn. II",RKM_Mgn_II/Vahemikust__4001-4500/M2-4022--07--kodumetsa_nolvad_valss__pillil.mp3,K0,44444
"RKM, Mgn. II 4022 (8)",Kellamehe polka,,,1987,kannel,"Jaan Siniallik, Meeta Siniallik",,Juuru khk.,"Mall Hiiemäe, Ain Urbel",,,"RKM, Mgn. II",RKM_Mgn_II/Vahemikust__4001-4500/M2-4022--08--kellamehe_polka__pillil.mp3,K0,44445
"RKM, Mgn. II 4022 (9)",Istun õhtul õues (valss),,,1987,kannel,"Jaan Siniallik, Meeta Siniallik",,Juuru khk.,"Mall Hiiemäe, Ain Urbel",,,"RKM, Mgn. II",RKM_Mgn_II/Vahemikust__4001-4500/M2-4022--09--istun_ohtul_oues__pillil.mp3,K0,44446
"RKM, Mgn. II 4022 (10)",Lilled õitsvad aasa peal (valss),,,1987,kannel,"Jaan Siniallik, Meeta Siniallik",,Juuru khk.,"Mall Hiiemäe, Ain Urbel",,,"RKM, Mgn. II",RKM_Mgn_II/Vahemikust__4001-4500/M2-4022--10--lilled_oitsvad_aasa_peal__pillil.mp3,K0,44447
"RKM, Mgn. II 4022 (11)",Omatehtud polka (J.S. tehtud),,,1987,kannel,"Jaan Siniallik, Meeta Siniallik",,Juuru khk.,"Mall Hiiemäe, Ain Urbel",,,"RKM, Mgn. II",RKM_Mgn_II/Vahemikust__4001-4500/M2-4022--11--omatehtud_polka__pillil.mp3,K0,44448
"RKM, Mgn. II 4022 (12)",Las olla nii kui oli (valss),,,1987,kannel,"Jaan Siniallik, Meeta Siniallik",,Juuru khk.,"Mall Hiiemäe, Ain Urbel",,,"RKM, Mgn. II",RKM_Mgn_II/Vahemikust__4001-4500/M2-4022--12--las_olla_nii_kui_oli__pillil.mp3,K0,44449
"RKM, Mgn. II 4022 (13)",Mu akna alla tuli (valss),,,1987,kannel,"Jaan Siniallik, Meeta Siniallik",,Juuru khk.,"Mall Hiiemäe, Ain Urbel",,,"RKM, Mgn. II",RKM_Mgn_II/Vahemikust__4001-4500/M2-4022--13--mu_akna_alla_tuli__pillil.mp3,K0,44450
"RKM, Mgn. II 4022 (14)","Navesti valss ""Kodu metsa all""",,,1987,kannel,"Jaan Siniallik, Meeta Siniallik",,Juuru khk.,"Mall Hiiemäe, Ain Urbel",,,"RKM, Mgn. II",RKM_Mgn_II/Vahemikust__4001-4500/M2-4022--14--no_laks_lahti__pillil.mp3,K0,44451
"RKM, Mgn. II 4022 (15)",Ööbik (valss),,,1987,kannel,"Jaan Siniallik, Meeta Siniallik",,Juuru khk.,"Mall Hiiemäe, Ain Urbel",,,"RKM, Mgn. II",RKM_Mgn_II/Vahemikust__4001-4500/M2-4022--15--oobik_valss__pillil.mp3,K0,44452
"RKM, Mgn. II 4022 (16a)",Mustlane (valss),,,1987,kannel,"Jaan Siniallik, Meeta Siniallik",,Juuru khk.,"Mall Hiiemäe, Ain Urbel",,,"RKM, Mgn. II",RKM_Mgn_II/Vahemikust__4001-4500/M2-4022--16a-sest_kandlest_oli_siis__pillil.mp3,K0,44453
"RKM, Mgn. II 4022 (16b)",Mustlane (valss),,,1987,kannel,"Jaan Siniallik, Meeta Siniallik",,Juuru khk.,"Mall Hiiemäe, Ain Urbel",,,"RKM, Mgn. II",RKM_Mgn_II/Vahemikust__4001-4500/M2-4022--16b-mustlane_valss__pillil.mp3,K0,44454
"RKM, Mgn. II 4022 (17)","Polka ""Untsa mamma"" + sõnad (tl.)",,,1987,kannel,"Jaan Siniallik, Meeta Siniallik",,Juuru khk.,"Mall Hiiemäe, Ain Urbel",,,"RKM, Mgn. II",RKM_Mgn_II/Vahemikust__4001-4500/M2-4022--17--polka_uhtsa_mamma__pillil.mp3,K0,44455
"RKM, Mgn. II 4022 (18)",Lutika Viiu,,,1987,kannel,Jaan Siniallik,,Juuru khk.,"Mall Hiiemäe, Ain Urbel",,,"RKM, Mgn. II",RKM_Mgn_II/Vahemikust__4001-4500/M2-4022--18--Lutika_Viiu__pillil.mp3,K0,44456
"RKM, Mgn. II 4029 (40)",Mere süles,,,1987,"kitarr, laul",Virve Köster,,Kihnu khk.,"Ingrid Rüütel, A. Vissel",,,"RKM, Mgn. II",RKM_Mgn_II/Vahemikust__4001-4500/M2-4029--40--mere_syles_lainte_vallas__l_pillil.mp3,K0,44457
"RKM, Mgn. II 4030 (6)",Liivaluitel majake (omalooming),,,1987,"kitarr, laul","Virve Köster, Urve Köster",,Kihnu khk.,"Ingrid Rüütel, A. Vissel",,,"RKM, Mgn. II",RKM_Mgn_II/Vahemikust__4001-4500/M2-4030--06--noh_Raina_kus_sina_oled__l_pillil.mp3,K0,44458
"RKM, Mgn. II 4046 (27)",Kitarre käes (eelmänguga valss),,,1988,lõõts,Endel Koppel,,Puhja khk. < Nõo khk.,"Mall Hiiemäe, Eda Kalmre",,,"RKM, Mgn. II",RKM_Mgn_II/Vahemikust__4001-4500/M2-4046--27--kitarre_kaes_eelmanguga_valss__pillil.mp3,K0,44459
"RKM, Mgn. II 4046 (28)",Neemisküla polka,,,1988,lõõts,Endel Koppel,,Puhja khk. < Nõo khk.,"Mall Hiiemäe, Eda Kalmre",,,"RKM, Mgn. II",RKM_Mgn_II/Vahemikust__4001-4500/M2-4046--28--Neemiskyla_polka__pillil.mp3,K0,44460
"RKM, Mgn. II 4046 (29)",Umba-umba,,,1988,lõõts,Endel Koppel,,Puhja khk. < Nõo khk.,"Mall Hiiemäe, Eda Kalmre",,,"RKM, Mgn. II",RKM_Mgn_II/Vahemikust__4001-4500/M2-4046--29--umba-umba__pillil.mp3,K0,44461
"RKM, Mgn. II 4046 (30)",Palupõhja valss + selet.,,,1988,lõõts,Endel Koppel,,Puhja khk. < Nõo khk.,"Mall Hiiemäe, Eda Kalmre",,,"RKM, Mgn. II",RKM_Mgn_II/Vahemikust__4001-4500/M2-4046--30--Palupohja_valss__pillil.mp3,K0,44462
"RKM, Mgn. II 4046 (31)",Püvi mängib kõrtsis oma polkat + Püvi polka + selet.,,,1988,lõõts,Endel Koppel,,Puhja khk. < Nõo khk.,"Mall Hiiemäe, Eda Kalmre",,,"RKM, Mgn. II",RKM_Mgn_II/Vahemikust__4001-4500/M2-4046--31--kas_see_on_ka_teada_kes__j_pillil.mp3,K0,44463
"RKM, Mgn. II 4046 (32)",Kikas ütles kanale,,,1988,lõõts,Endel Koppel,,Puhja khk. < Nõo khk.,"Mall Hiiemäe, Eda Kalmre",,,"RKM, Mgn. II",RKM_Mgn_II/Vahemikust__4001-4500/M2-4046--32--kikas_ytles_kanale__pillil.mp3,K0,44464
"RKM, Mgn. II 4046 (33)",Käovalss + selet.,,,1988,lõõts,Endel Koppel,,Puhja khk. < Nõo khk.,"Mall Hiiemäe, Eda Kalmre",,,"RKM, Mgn. II",RKM_Mgn_II/Vahemikust__4001-4500/M2-4046--33--kao_valss__pillil_j.mp3,K0,44465
"RKM, Mgn. II 4046 (34)",Mu akna alla tuli (valss),,,1988,lõõts,Endel Koppel,,Puhja khk. < Nõo khk.,"Mall Hiiemäe, Eda Kalmre",,,"RKM, Mgn. II",RKM_Mgn_II/Vahemikust__4001-4500/M2-4046--34--mu_akna_alla_tuli__pillil.mp3,K0,44466
"RKM, Mgn. II 4046 (35)",Nadinunnadi + selet.,,,1988,lõõts,Endel Koppel,,Puhja khk. < Nõo khk.,"Mall Hiiemäe, Eda Kalmre",,,"RKM, Mgn. II",RKM_Mgn_II/Vahemikust__4001-4500/M2-4046--35--nadinunnadi__pillil_j.mp3,K0,44467
"RKM, Mgn. II 4047 (1)",Oh ma õnnetu mees (valss),,,1988,lõõts,Endel Koppel,,Puhja khk. < Nõo khk.,"Mall Hiiemäe, Eda Kalmre",,,"RKM, Mgn. II",RKM_Mgn_II/Vahemikust__4001-4500/M2-4047--01--oh_ma_onnetu_mees__pillil.mp3,K0,44468
"RKM, Mgn. II 4047 (2)",Ennem olid akendel saapad ja vildid + selet.,,,1988,lõõts,Endel Koppel,,Puhja khk. < Nõo khk.,"Mall Hiiemäe, Eda Kalmre",,,"RKM, Mgn. II",RKM_Mgn_II/Vahemikust__4001-4500/M2-4047--02--ennem_olid_akendel__pillil_j.mp3,K0,44469
"RKM, Mgn. II 4047 (4)",Märtsoni lugu (polka) + selet.,,,1988,lõõts,Endel Koppel,,Puhja khk. < Nõo khk.,"Mall Hiiemäe, Eda Kalmre",,,"RKM, Mgn. II",RKM_Mgn_II/Vahemikust__4001-4500/M2-4047--04--Martsoni_lugu__pillil_j.mp3,K0,44470
"RKM, Mgn. II 4047 (6)",Aidalakas (polka),,,1988,lõõts,Endel Koppel,,Puhja khk. < Nõo khk.,"Mall Hiiemäe, Eda Kalmre",,,"RKM, Mgn. II",RKM_Mgn_II/Vahemikust__4001-4500/M2-4047--06--aidalakas_polka__pillil.mp3,K0,44471
"RKM, Mgn. II 4047 (7)",Litsu pääle (polka),,,1988,lõõts,Endel Koppel,,Puhja khk. < Nõo khk.,"Mall Hiiemäe, Eda Kalmre",,,"RKM, Mgn. II",RKM_Mgn_II/Vahemikust__4001-4500/M2-4047--07--litsu_paale_polka__pillil.mp3,K0,44472
"RKM, Mgn. II 4047 (8)",Krakovjak,,,1988,lõõts,Endel Koppel,,Puhja khk. < Nõo khk.,"Mall Hiiemäe, Eda Kalmre",,,"RKM, Mgn. II",RKM_Mgn_II/Vahemikust__4001-4500/M2-4047--08--krakovjak__pillil.mp3,K0,44473
"RKM, Mgn. II 4047 (9)",Ju laias laanes (valss) + selet.,,,1988,lõõts,Endel Koppel,,Puhja khk. < Nõo khk.,"Mall Hiiemäe, Eda Kalmre",,,"RKM, Mgn. II",RKM_Mgn_II/Vahemikust__4001-4500/M2-4047--09--ju_laias_laanes__pillil_j.mp3,K0,44474
"RKM, Mgn. II 4047 (14)",Saja lumeke (valss),,,1988,lõõts,Endel Koppel,,Puhja khk. < Nõo khk.,"Mall Hiiemäe, Eda Kalmre",,,"RKM, Mgn. II",RKM_Mgn_II/Vahemikust__4001-4500/M2-4047--14--saja_lumeke_valss__pillil.mp3,K0,44475
