ref,content,piece,melody,year,instrument,performer,,location,collector,notes,comments,archive,file,kivike,order
"RKM, Mgn. II 2643 j",Labajalavalss + sõnad,,,1974,lõõts,Joosep Arumäe,,Muhu khk.,"Ingrid Rüütel, O. Kiis",,,"RKM, Mgn. II",RKM_Mgn_II/Vahemikust__2001-3000/M2-2643--j)--labajalavalss__loots.mp3,K0,41904
"RKM, Mgn. II 2644 c",Padespaan,,,1974,lõõts,Joosep Arumäe,,Muhu khk.,"Ingrid Rüütel, O. Kiis",,,"RKM, Mgn. II",RKM_Mgn_II/Vahemikust__2001-3000/M2-2644--c)--padespaan__loots.mp3,K0,41905
"RKM, Mgn. II 2644 e",Perekonnavalts,Perekonnavalss,I,1974,lõõts,Joosep Arumäe,,Muhu khk.,"Ingrid Rüütel, O. Kiis",,,"RKM, Mgn. II",RKM_Mgn_II/Vahemikust__2001-3000/M2-2644--e)--perekonnavalts__loots.mp3,K0,41906
"RKM, Mgn. II 2644 f",Kiigepolka,,,1974,lõõts,Joosep Arumäe,,Muhu khk.,"Ingrid Rüütel, O. Kiis",,,"RKM, Mgn. II",RKM_Mgn_II/Vahemikust__2001-3000/M2-2644--f)--kiigepolka__loots.mp3,K0,41907
"RKM, Mgn. II 2644 g",Krakuljak,,,1974,lõõts,Joosep Arumäe,,Muhu khk.,"Ingrid Rüütel, O. Kiis",,,"RKM, Mgn. II",RKM_Mgn_II/Vahemikust__2001-3000/M2-2644--g)--krakuljak__loots.mp3,K0,41908
"RKM, Mgn. II 2646 a",Soome polka,,,1974,suupill,Priidu Pajusalu,,Anseküla khk.,"Ingrid Rüütel, O. Kiis",,,"RKM, Mgn. II",RKM_Mgn_II/Vahemikust__2001-3000/M2-2646--a)--Soome_polka__suupill.mp3,K0,41909
"RKM, Mgn. II 2646 c","Polka - Pisikene Ants, mis nutad sa",,,1974,suupill,Priidu Pajusalu,,Anseküla khk.,"Ingrid Rüütel, O. Kiis",,,"RKM, Mgn. II",RKM_Mgn_II/Vahemikust__2001-3000/M2-2646--c)--mis_teil_oli_esimene__suupill.mp3,K0,41910
"RKM, Mgn. II 2646 d",Valss - Ei meremees kosi noorelt naist,,,1974,suupill,Priidu Pajusalu,,Anseküla khk.,"Ingrid Rüütel, O. Kiis",,,"RKM, Mgn. II",RKM_Mgn_II/Vahemikust__2001-3000/M2-2646--d)--siis_on_juba_bassid__suupill.mp3,K0,41911
"RKM, Mgn. II 2646 r",Padespaan + Brodjaaga,,,1974,suupill,Priidu Pajusalu,,Anseküla khk.,"Ingrid Rüütel, O. Kiis",,,"RKM, Mgn. II",RKM_Mgn_II/Vahemikust__2001-3000/M2-2646--r)--padespaan__suupill.mp3,K0,41912
"RKM, Mgn. II 2646 s",Krakovjak,,,1974,suupill,Priidu Pajusalu,,Anseküla khk.,"Ingrid Rüütel, O. Kiis",,,"RKM, Mgn. II",RKM_Mgn_II/Vahemikust__2001-3000/M2-2646--s)--krakovjak__suupill.mp3,K0,41913
"RKM, Mgn. II 2646 t","Reinlender ""Läksin mina :| läbi külatänava""",Läksin mina läbi külatänava,I,1974,suupill,Priidu Pajusalu,,Anseküla khk.,"Ingrid Rüütel, O. Kiis",,,"RKM, Mgn. II",RKM_Mgn_II/Vahemikust__2001-3000/M2-2646--t)--reinlender__suupill.mp3,K0,41914
"RKM, Mgn. II 2646 u",Polka,,,1974,suupill,Priidu Pajusalu,,Anseküla khk.,"Ingrid Rüütel, O. Kiis",,,"RKM, Mgn. II",RKM_Mgn_II/Vahemikust__2001-3000/M2-2646--u)--polka__suupill.mp3,K0,41915
"RKM, Mgn. II 2650 a",Meie aja palvevennad,,,1972,"akordion, laul","Eve Nikkel, Arno Nikkel",,Muhu khk.,Leida Vokk,,,"RKM, Mgn. II",RKM_Mgn_II/Vahemikust__2001-3000/M2-2650--a)--katsume_niiviisi_selle__l.mp3,K0,41916
"RKM, Mgn. II 2650 d",Polka,,,1972,lõõts,Matvei Auväärt,,Muhu khk.,Leida Vokk,,,"RKM, Mgn. II",RKM_Mgn_II/Vahemikust__2001-3000/M2-2650--d)--polka__loots.mp3,K0,41917
"RKM, Mgn. II 2650 f",Krakovjak,,,1972,lõõts,Matvei Auväärt,,Muhu khk.,Leida Vokk,,,"RKM, Mgn. II",RKM_Mgn_II/Vahemikust__2001-3000/M2-2650--f)--krakovjak__loots.mp3,K0,41918
